,T,H,Time
0,27.0,37.0,105
1,27.0,37.0,106
2,27.0,37.0,107
3,27.0,37.0,108
4,27.0,37.0,109
5,27.0,37.0,110
6,27.0,37.0,111
7,27.0,37.0,112
8,27.0,37.0,113
9,27.0,37.0,114
10,27.0,37.0,115
11,27.0,37.0,116
12,27.0,75.0,117
13,27.0,75.0,118
14,27.0,68.0,119
15,27.0,68.0,120
16,27.0,61.0,121
17,27.0,61.0,122
18,27.0,55.0,123
19,27.0,55.0,124
20,27.0,51.0,125
21,27.0,51.0,126
22,27.0,47.0,127
23,27.0,47.0,128
24,27.0,45.0,129
25,27.0,45.0,130
26,27.0,43.0,131
27,27.0,43.0,133
28,27.0,42.0,134
29,27.0,42.0,135
30,27.0,41.0,136
31,27.0,41.0,137
32,27.0,40.0,138
33,27.0,40.0,139
34,26.0,40.0,140
35,26.0,40.0,141
36,27.0,58.0,142
37,27.0,58.0,143
38,27.0,70.0,144
39,27.0,70.0,145
40,27.0,61.0,146
41,27.0,61.0,147
42,27.0,57.0,148
43,27.0,57.0,149
44,27.0,53.0,150
45,27.0,53.0,151
46,27.0,49.0,152
47,27.0,49.0,153
48,26.0,47.0,154
49,26.0,47.0,155
50,26.0,45.0,156
51,26.0,45.0,157
52,26.0,44.0,158
53,26.0,44.0,159
54,26.0,42.0,160
55,26.0,42.0,161
56,26.0,41.0,162
57,26.0,41.0,163
58,26.0,41.0,164
59,26.0,41.0,165
60,26.0,40.0,167
61,26.0,40.0,168
62,26.0,40.0,169
63,26.0,40.0,170
64,26.0,39.0,171
65,26.0,39.0,172
66,26.0,39.0,173
67,26.0,39.0,174
68,26.0,39.0,175
69,26.0,39.0,176
70,26.0,39.0,177
71,26.0,39.0,178
72,26.0,39.0,179
73,26.0,39.0,180
74,26.0,38.0,181
75,26.0,38.0,182
76,26.0,38.0,183
77,26.0,38.0,184
78,26.0,38.0,185
79,26.0,38.0,186
80,26.0,38.0,187
81,26.0,38.0,188
82,26.0,38.0,189
83,26.0,38.0,190
84,26.0,38.0,191
85,26.0,38.0,192
86,26.0,38.0,193
87,26.0,38.0,194
88,26.0,38.0,195
89,26.0,38.0,196
90,26.0,38.0,197
91,26.0,38.0,198
92,26.0,38.0,199
93,26.0,38.0,201
94,26.0,38.0,202
95,26.0,38.0,203
96,26.0,38.0,204
97,26.0,38.0,205
98,26.0,38.0,206
99,26.0,38.0,207
