,T,H,Time
0,26.0,41.0,1032
1,26.0,41.0,1033
2,26.0,41.0,1034
3,26.0,41.0,1035
4,26.0,40.0,1036
5,26.0,40.0,1037
6,26.0,40.0,1038
7,26.0,40.0,1039
8,26.0,40.0,1040
9,26.0,40.0,1041
10,26.0,40.0,1042
11,26.0,40.0,1043
12,26.0,40.0,1044
13,26.0,40.0,1045
14,26.0,41.0,1046
15,26.0,41.0,1047
16,26.0,40.0,1048
17,26.0,40.0,1050
18,26.0,41.0,1051
19,26.0,41.0,1052
20,26.0,41.0,1053
21,26.0,41.0,1054
22,26.0,41.0,1055
23,26.0,41.0,1056
24,26.0,41.0,1057
25,26.0,41.0,1058
26,26.0,41.0,1059
27,26.0,41.0,1060
28,26.0,41.0,1061
29,26.0,41.0,1062
30,26.0,40.0,1063
31,26.0,40.0,1064
32,26.0,40.0,1065
33,26.0,40.0,1066
34,26.0,40.0,1067
35,26.0,40.0,1068
36,26.0,40.0,1069
37,26.0,40.0,1070
38,26.0,40.0,1071
39,26.0,40.0,1072
40,26.0,40.0,1073
41,26.0,40.0,1074
42,26.0,40.0,1075
43,26.0,40.0,1076
44,26.0,40.0,1077
45,26.0,40.0,1078
46,26.0,40.0,1079
47,26.0,40.0,1080
48,26.0,40.0,1081
49,26.0,40.0,1082
50,26.0,41.0,1084
51,26.0,41.0,1085
52,26.0,40.0,1086
53,26.0,40.0,1087
54,26.0,40.0,1088
55,26.0,40.0,1089
56,26.0,40.0,1090
57,26.0,40.0,1091
58,26.0,40.0,1092
59,26.0,40.0,1093
60,26.0,40.0,1094
61,26.0,40.0,1095
62,26.0,40.0,1096
63,26.0,40.0,1097
64,26.0,40.0,1098
65,26.0,40.0,1099
66,26.0,40.0,1100
67,26.0,40.0,1101
68,26.0,40.0,1102
69,26.0,40.0,1103
70,26.0,40.0,1104
71,26.0,40.0,1105
72,26.0,40.0,1106
73,26.0,40.0,1107
74,26.0,40.0,1108
75,26.0,40.0,1109
76,26.0,40.0,1110
77,26.0,40.0,1111
78,25.0,39.0,1112
79,25.0,39.0,1113
80,26.0,40.0,1114
81,26.0,40.0,1115
82,26.0,40.0,1116
83,26.0,40.0,1118
84,25.0,39.0,1119
85,25.0,39.0,1120
86,26.0,40.0,1121
87,26.0,40.0,1122
88,26.0,40.0,1123
89,26.0,40.0,1124
90,25.0,39.0,1125
91,25.0,39.0,1126
92,25.0,39.0,1127
93,25.0,39.0,1128
94,25.0,40.0,1129
95,25.0,40.0,1130
96,25.0,40.0,1131
97,25.0,40.0,1132
98,26.0,41.0,1133
99,26.0,41.0,1134
100,26.0,41.0,1135
101,26.0,41.0,1136
102,25.0,40.0,1137
103,25.0,40.0,1138
104,25.0,39.0,1139
105,25.0,39.0,1140
106,26.0,40.0,1141
107,26.0,40.0,1142
108,26.0,40.0,1143
109,26.0,40.0,1144
110,26.0,40.0,1145
111,26.0,40.0,1146
112,26.0,40.0,1147
113,26.0,40.0,1148
114,26.0,40.0,1149
115,26.0,40.0,1151
116,26.0,40.0,1152
117,26.0,40.0,1153
118,25.0,39.0,1154
119,25.0,39.0,1155
120,25.0,40.0,1156
121,25.0,40.0,1157
122,25.0,39.0,1158
123,25.0,39.0,1159
124,25.0,39.0,1160
125,25.0,39.0,1161
126,25.0,40.0,1162
127,25.0,40.0,1163
128,25.0,39.0,1164
129,25.0,39.0,1165
130,25.0,40.0,1166
131,25.0,40.0,1167
132,25.0,40.0,1168
133,25.0,40.0,1169
134,25.0,39.0,1170
135,25.0,39.0,1171
136,25.0,40.0,1172
