,T,H,Time
0,26.0,38.0,5157
1,26.0,38.0,5158
2,26.0,38.0,5159
3,26.0,38.0,5160
4,26.0,38.0,5161
5,26.0,38.0,5162
6,26.0,38.0,5163
7,26.0,38.0,5164
8,26.0,38.0,5165
9,26.0,38.0,5166
10,26.0,38.0,5167
11,26.0,38.0,5168
12,26.0,38.0,5169
13,26.0,38.0,5170
14,26.0,38.0,5171
15,26.0,38.0,5172
16,26.0,38.0,5173
17,26.0,38.0,5174
18,26.0,38.0,5175
19,26.0,38.0,5176
20,26.0,38.0,5177
21,26.0,38.0,5178
22,26.0,38.0,5179
23,26.0,38.0,5180
24,26.0,38.0,5181
25,26.0,38.0,5183
26,26.0,38.0,5184
27,26.0,38.0,5185
28,26.0,38.0,5186
29,26.0,38.0,5187
30,26.0,38.0,5188
31,26.0,38.0,5189
32,26.0,38.0,5190
33,26.0,38.0,5191
34,26.0,38.0,5192
35,26.0,38.0,5193
36,26.0,38.0,5194
37,26.0,38.0,5195
38,26.0,38.0,5196
39,26.0,38.0,5197
40,26.0,38.0,5198
41,26.0,38.0,5199
42,26.0,38.0,5200
43,26.0,38.0,5201
44,26.0,38.0,5202
45,26.0,38.0,5203
46,26.0,38.0,5204
47,26.0,38.0,5205
48,26.0,38.0,5206
49,26.0,38.0,5207
50,26.0,38.0,5208
51,26.0,38.0,5209
52,26.0,38.0,5210
53,26.0,38.0,5211
54,26.0,38.0,5212
55,26.0,38.0,5213
56,26.0,38.0,5214
57,26.0,38.0,5215
58,26.0,38.0,5216
59,26.0,38.0,5217
60,26.0,38.0,5219
61,26.0,38.0,5220
62,26.0,38.0,5221
63,26.0,38.0,5222
64,26.0,38.0,5223
65,26.0,38.0,5224
66,26.0,38.0,5225
67,26.0,38.0,5226
68,26.0,38.0,5227
69,26.0,38.0,5228
70,26.0,38.0,5229
71,26.0,38.0,5230
72,26.0,38.0,5231
73,26.0,38.0,5232
74,26.0,38.0,5233
75,26.0,38.0,5234
76,26.0,38.0,5235
77,26.0,38.0,5236
78,26.0,38.0,5237
79,26.0,38.0,5238
80,26.0,38.0,5239
81,26.0,38.0,5240
82,26.0,38.0,5241
83,26.0,38.0,5242
84,26.0,38.0,5243
85,26.0,38.0,5244
86,26.0,38.0,5245
87,26.0,38.0,5246
88,26.0,38.0,5247
89,26.0,38.0,5248
90,26.0,38.0,5249
91,26.0,38.0,5250
92,26.0,38.0,5252
93,26.0,38.0,5253
94,26.0,38.0,5254
95,26.0,38.0,5255
96,26.0,38.0,5256
97,26.0,38.0,5257
98,26.0,38.0,5258
99,26.0,38.0,5259
100,26.0,38.0,5260
101,26.0,38.0,5261
102,26.0,38.0,5262
103,26.0,38.0,5263
104,26.0,38.0,5264
105,26.0,38.0,5265
106,26.0,38.0,5266
107,26.0,38.0,5267
108,26.0,38.0,5268
109,26.0,38.0,5269
110,26.0,38.0,5270
111,26.0,38.0,5271
112,26.0,38.0,5272
113,26.0,38.0,5273
114,26.0,38.0,5274
115,26.0,38.0,5275
116,26.0,38.0,5276
117,26.0,38.0,5277
118,26.0,38.0,5278
119,26.0,38.0,5279
120,26.0,38.0,5280
121,26.0,38.0,5281
122,26.0,38.0,5282
123,26.0,38.0,5283
124,26.0,38.0,5284
125,26.0,38.0,5286
126,26.0,38.0,5287
127,26.0,38.0,5288
128,26.0,38.0,5289
129,26.0,38.0,5290
130,26.0,38.0,5291
131,26.0,38.0,5292
132,26.0,38.0,5293
133,26.0,38.0,5294
134,26.0,38.0,5295
135,26.0,38.0,5296
136,26.0,38.0,5297
137,26.0,38.0,5298
138,26.0,38.0,5299
139,26.0,38.0,5300
140,26.0,38.0,5301
141,26.0,38.0,5302
142,26.0,38.0,5303
143,26.0,38.0,5304
144,26.0,38.0,5305
145,26.0,38.0,5306
146,26.0,38.0,5307
147,26.0,38.0,5308
148,26.0,38.0,5309
149,26.0,38.0,5310
150,26.0,38.0,5311
151,26.0,38.0,5312
152,26.0,38.0,5313
153,26.0,38.0,5314
154,26.0,38.0,5315
155,26.0,38.0,5316
156,26.0,38.0,5317
157,26.0,38.0,5318
158,26.0,38.0,5320
159,26.0,38.0,5321
160,26.0,38.0,5322
161,26.0,38.0,5323
162,26.0,38.0,5324
163,26.0,38.0,5325
164,26.0,38.0,5326
165,26.0,38.0,5327
166,26.0,38.0,5328
167,26.0,38.0,5329
168,26.0,38.0,5330
169,26.0,38.0,5331
170,26.0,38.0,5332
171,26.0,38.0,5333
172,26.0,38.0,5334
173,26.0,38.0,5335
174,26.0,38.0,5336
175,26.0,38.0,5337
176,26.0,38.0,5338
177,26.0,38.0,5339
178,26.0,38.0,5340
179,26.0,38.0,5341
180,26.0,38.0,5342
181,26.0,38.0,5343
182,26.0,38.0,5344
183,26.0,38.0,5345
184,26.0,38.0,5346
185,26.0,38.0,5347
186,26.0,38.0,5348
187,26.0,38.0,5349
