,T,H,Time
0,27.0,37.0,3608
1,27.0,37.0,3609
2,27.0,36.0,3610
3,27.0,36.0,3611
4,27.0,37.0,3612
5,27.0,37.0,3613
6,27.0,36.0,3614
7,27.0,36.0,3615
8,27.0,37.0,3616
9,27.0,37.0,3617
10,27.0,36.0,3618
11,27.0,36.0,3619
12,27.0,37.0,3620
13,27.0,37.0,3621
14,27.0,37.0,3622
15,27.0,37.0,3623
16,27.0,36.0,3625
17,27.0,36.0,3626
18,27.0,37.0,3627
19,27.0,37.0,3628
20,27.0,36.0,3629
21,27.0,36.0,3630
22,27.0,37.0,3631
23,27.0,37.0,3632
24,27.0,36.0,3633
25,27.0,36.0,3634
26,27.0,36.0,3635
27,27.0,36.0,3636
28,27.0,37.0,3637
29,27.0,37.0,3638
30,27.0,36.0,3639
31,27.0,36.0,3640
32,27.0,36.0,3641
33,27.0,36.0,3642
34,27.0,37.0,3643
35,27.0,37.0,3644
36,27.0,36.0,3645
37,27.0,36.0,3646
38,27.0,37.0,3647
39,27.0,37.0,3648
40,27.0,36.0,3649
41,27.0,36.0,3650
42,27.0,37.0,3651
43,27.0,37.0,3652
44,27.0,36.0,3653
45,27.0,36.0,3654
46,27.0,37.0,3655
47,27.0,37.0,3656
48,27.0,36.0,3658
49,27.0,36.0,3659
50,27.0,36.0,3660
51,27.0,36.0,3661
52,27.0,37.0,3662
53,27.0,37.0,3663
54,27.0,36.0,3664
55,27.0,36.0,3665
56,27.0,37.0,3666
57,27.0,37.0,3667
58,27.0,36.0,3668
59,27.0,36.0,3669
60,27.0,36.0,3670
61,27.0,36.0,3671
62,27.0,37.0,3672
63,27.0,37.0,3673
64,27.0,36.0,3674
65,27.0,36.0,3675
66,27.0,36.0,3676
67,27.0,36.0,3677
68,27.0,36.0,3678
69,27.0,36.0,3679
70,27.0,36.0,3680
71,27.0,36.0,3681
72,27.0,36.0,3682
73,27.0,36.0,3683
74,27.0,36.0,3684
75,27.0,36.0,3685
76,27.0,36.0,3686
77,27.0,36.0,3687
78,27.0,37.0,3688
79,27.0,37.0,3689
80,27.0,36.0,3690
81,27.0,36.0,3692
82,27.0,37.0,3693
83,27.0,37.0,3694
84,27.0,37.0,3695
85,27.0,37.0,3696
86,27.0,37.0,3697
87,27.0,37.0,3698
88,27.0,37.0,3699
89,27.0,37.0,3700
90,27.0,37.0,3701
91,27.0,37.0,3702
92,27.0,37.0,3703
93,27.0,37.0,3704
94,27.0,37.0,3705
95,27.0,37.0,3706
96,27.0,37.0,3707
97,27.0,37.0,3708
98,27.0,37.0,3709
99,27.0,37.0,3710
100,27.0,37.0,3711
101,27.0,37.0,3712
102,27.0,37.0,3713
103,27.0,37.0,3714
104,27.0,37.0,3715
105,27.0,37.0,3716
106,27.0,37.0,3717
107,27.0,37.0,3718
108,27.0,37.0,3719
109,27.0,37.0,3720
110,27.0,37.0,3721
111,27.0,37.0,3722
112,27.0,37.0,3723
113,27.0,37.0,3724
114,27.0,37.0,3725
115,27.0,37.0,3727
116,27.0,37.0,3728
117,27.0,37.0,3729
118,27.0,37.0,3730
119,27.0,37.0,3731
120,27.0,37.0,3732
121,27.0,37.0,3733
122,27.0,37.0,3734
123,27.0,37.0,3735
124,27.0,37.0,3736
125,27.0,37.0,3737
126,27.0,37.0,3738
127,27.0,37.0,3739
128,27.0,37.0,3740
129,27.0,37.0,3741
130,27.0,37.0,3742
131,27.0,37.0,3743
132,27.0,37.0,3744
133,27.0,37.0,3745
134,27.0,37.0,3746
135,27.0,37.0,3747
136,27.0,37.0,3748
137,27.0,37.0,3749
138,27.0,37.0,3750
139,27.0,37.0,3751
140,27.0,37.0,3752
141,27.0,37.0,3753
142,27.0,37.0,3754
143,27.0,37.0,3755
144,27.0,37.0,3756
145,27.0,37.0,3757
146,27.0,37.0,3758
147,27.0,37.0,3759
148,27.0,36.0,3761
149,27.0,36.0,3762
150,27.0,37.0,3763
151,27.0,37.0,3764
152,27.0,37.0,3765
153,27.0,37.0,3766
154,27.0,37.0,3767
155,27.0,37.0,3768
156,27.0,36.0,3769
157,27.0,36.0,3770
158,27.0,37.0,3771
159,27.0,37.0,3772
160,27.0,37.0,3773
161,27.0,37.0,3774
162,27.0,37.0,3775
163,27.0,37.0,3776
164,27.0,37.0,3777
165,27.0,37.0,3778
166,27.0,37.0,3779
167,27.0,37.0,3780
168,27.0,37.0,3781
169,27.0,37.0,3782
170,27.0,37.0,3783
171,27.0,37.0,3784
172,27.0,37.0,3785
173,27.0,37.0,3786
174,27.0,37.0,3787
175,27.0,37.0,3788
176,27.0,37.0,3789
177,27.0,37.0,3790
178,27.0,37.0,3791
179,27.0,37.0,3792
180,27.0,37.0,3794
181,27.0,37.0,3795
182,27.0,37.0,3796
183,27.0,37.0,3797
184,27.0,37.0,3798
185,27.0,37.0,3799
186,27.0,37.0,3800
187,27.0,37.0,3801
188,27.0,37.0,3802
189,27.0,37.0,3803
190,27.0,37.0,3804
191,27.0,37.0,3805
192,27.0,37.0,3806
193,27.0,37.0,3807
194,27.0,37.0,3808
195,27.0,37.0,3809
196,27.0,37.0,3810
197,27.0,37.0,3811
198,27.0,37.0,3812
199,27.0,37.0,3813
200,27.0,37.0,3814
201,27.0,37.0,3815
202,27.0,37.0,3816
203,27.0,37.0,3817
204,27.0,37.0,3818
205,27.0,37.0,3819
206,27.0,37.0,3820
207,27.0,37.0,3821
208,27.0,37.0,3822
209,27.0,37.0,3823
210,27.0,37.0,3824
211,27.0,37.0,3825
212,27.0,37.0,3826
213,27.0,37.0,3827
214,27.0,37.0,3829
215,27.0,37.0,3830
216,27.0,37.0,3831
217,27.0,37.0,3832
218,27.0,37.0,3833
219,27.0,37.0,3834
220,27.0,37.0,3835
221,27.0,37.0,3836
222,27.0,37.0,3837
223,27.0,37.0,3838
224,27.0,37.0,3839
225,27.0,37.0,3840
226,27.0,37.0,3841
227,27.0,37.0,3842
228,27.0,37.0,3843
229,27.0,37.0,3844
230,27.0,37.0,3845
231,27.0,37.0,3846
232,27.0,37.0,3847
233,27.0,37.0,3848
234,27.0,37.0,3849
235,27.0,37.0,3850
236,27.0,37.0,3851
237,27.0,37.0,3852
238,27.0,37.0,3853
239,27.0,37.0,3854
240,27.0,37.0,3855
241,27.0,37.0,3856
242,27.0,37.0,3857
243,27.0,37.0,3858
244,27.0,37.0,3859
245,27.0,37.0,3860
246,27.0,37.0,3862
247,27.0,37.0,3863
248,27.0,37.0,3864
249,27.0,37.0,3865
250,27.0,37.0,3866
251,27.0,37.0,3867
252,27.0,37.0,3868
253,27.0,37.0,3869
254,27.0,37.0,3870
255,27.0,37.0,3871
256,27.0,37.0,3872
257,27.0,37.0,3873
258,27.0,37.0,3874
259,27.0,37.0,3875
260,27.0,37.0,3876
261,27.0,37.0,3877
262,27.0,37.0,3878
263,27.0,37.0,3879
264,27.0,37.0,3880
265,27.0,37.0,3881
266,27.0,37.0,3882
267,27.0,37.0,3883
268,27.0,37.0,3884
269,27.0,37.0,3885
270,27.0,37.0,3886
271,27.0,37.0,3887
272,27.0,37.0,3888
273,27.0,37.0,3889
274,27.0,37.0,3890
275,27.0,37.0,3891
276,27.0,37.0,3892
277,27.0,37.0,3893
278,27.0,37.0,3894
279,27.0,37.0,3896
280,27.0,37.0,3897
281,27.0,37.0,3898
282,27.0,37.0,3899
283,27.0,37.0,3900
284,27.0,37.0,3901
285,27.0,37.0,3902
286,27.0,37.0,3903
287,27.0,37.0,3904
288,27.0,37.0,3905
289,27.0,37.0,3906
290,27.0,37.0,3907
291,27.0,37.0,3908
292,27.0,37.0,3909
293,27.0,37.0,3910
294,27.0,37.0,3911
295,27.0,37.0,3912
296,27.0,37.0,3913
297,27.0,37.0,3914
298,27.0,37.0,3915
