,T,H,Time
0,26.0,38.0,5155
1,26.0,38.0,5156
2,26.0,38.0,5157
3,26.0,38.0,5158
4,26.0,38.0,5159
5,26.0,38.0,5160
6,26.0,38.0,5161
7,26.0,38.0,5162
8,26.0,38.0,5163
9,26.0,38.0,5164
10,26.0,38.0,5165
11,26.0,38.0,5166
12,26.0,38.0,5167
13,26.0,38.0,5168
14,26.0,38.0,5169
15,26.0,38.0,5170
16,26.0,38.0,5171
17,26.0,38.0,5172
18,26.0,38.0,5173
19,26.0,38.0,5174
20,26.0,38.0,5175
21,26.0,38.0,5176
22,26.0,38.0,5177
23,26.0,38.0,5178
24,26.0,38.0,5179
25,26.0,38.0,5180
26,26.0,38.0,5181
27,26.0,38.0,5183
28,26.0,38.0,5184
29,26.0,38.0,5185
30,26.0,38.0,5186
31,26.0,38.0,5187
32,26.0,38.0,5188
33,26.0,38.0,5189
34,26.0,38.0,5190
35,26.0,38.0,5191
36,26.0,38.0,5192
37,26.0,38.0,5193
38,26.0,38.0,5194
39,26.0,38.0,5195
40,26.0,38.0,5196
41,26.0,38.0,5197
42,26.0,38.0,5198
43,26.0,38.0,5199
44,26.0,38.0,5200
45,26.0,38.0,5201
46,26.0,38.0,5202
47,26.0,38.0,5203
48,26.0,38.0,5204
49,26.0,38.0,5205
50,26.0,38.0,5206
51,26.0,38.0,5207
52,26.0,38.0,5208
53,26.0,38.0,5209
54,26.0,38.0,5210
55,26.0,38.0,5211
56,26.0,38.0,5212
57,26.0,38.0,5213
58,26.0,38.0,5214
59,26.0,38.0,5215
60,26.0,38.0,5216
61,26.0,38.0,5217
62,26.0,38.0,5219
63,26.0,38.0,5220
64,26.0,38.0,5221
65,26.0,38.0,5222
66,26.0,38.0,5223
67,26.0,38.0,5224
68,26.0,38.0,5225
69,26.0,38.0,5226
70,26.0,38.0,5227
71,26.0,38.0,5228
72,26.0,38.0,5229
73,26.0,38.0,5230
74,26.0,38.0,5231
75,26.0,38.0,5232
76,26.0,38.0,5233
77,26.0,38.0,5234
78,26.0,38.0,5235
79,26.0,38.0,5236
80,26.0,38.0,5237
81,26.0,38.0,5238
82,26.0,38.0,5239
83,26.0,38.0,5240
84,26.0,38.0,5241
85,26.0,38.0,5242
86,26.0,38.0,5243
87,26.0,38.0,5244
88,26.0,38.0,5245
89,26.0,38.0,5246
90,26.0,38.0,5247
91,26.0,38.0,5248
92,26.0,38.0,5249
93,26.0,38.0,5250
94,26.0,38.0,5252
95,26.0,38.0,5253
96,26.0,38.0,5254
97,26.0,38.0,5255
98,26.0,38.0,5256
99,26.0,38.0,5257
100,26.0,38.0,5258
101,26.0,38.0,5259
102,26.0,38.0,5260
103,26.0,38.0,5261
104,26.0,38.0,5262
105,26.0,38.0,5263
106,26.0,38.0,5264
107,26.0,38.0,5265
108,26.0,38.0,5266
109,26.0,38.0,5267
110,26.0,38.0,5268
111,26.0,38.0,5269
112,26.0,38.0,5270
113,26.0,38.0,5271
114,26.0,38.0,5272
115,26.0,38.0,5273
116,26.0,38.0,5274
117,26.0,38.0,5275
118,26.0,38.0,5276
119,26.0,38.0,5277
120,26.0,38.0,5278
121,26.0,38.0,5279
122,26.0,38.0,5280
123,26.0,38.0,5281
124,26.0,38.0,5282
125,26.0,38.0,5283
126,26.0,38.0,5284
127,26.0,38.0,5286
128,26.0,38.0,5287
129,26.0,38.0,5288
130,26.0,38.0,5289
131,26.0,38.0,5290
132,26.0,38.0,5291
133,26.0,38.0,5292
134,26.0,38.0,5293
135,26.0,38.0,5294
136,26.0,38.0,5295
137,26.0,38.0,5296
138,26.0,38.0,5297
139,26.0,38.0,5298
140,26.0,38.0,5299
141,26.0,38.0,5300
142,26.0,38.0,5301
143,26.0,38.0,5302
144,26.0,38.0,5303
145,26.0,38.0,5304
146,26.0,38.0,5305
147,26.0,38.0,5306
148,26.0,38.0,5307
149,26.0,38.0,5308
150,26.0,38.0,5309
151,26.0,38.0,5310
152,26.0,38.0,5311
153,26.0,38.0,5312
154,26.0,38.0,5313
155,26.0,38.0,5314
156,26.0,38.0,5315
157,26.0,38.0,5316
158,26.0,38.0,5317
159,26.0,38.0,5318
160,26.0,38.0,5320
161,26.0,38.0,5321
162,26.0,38.0,5322
163,26.0,38.0,5323
164,26.0,38.0,5324
165,26.0,38.0,5325
166,26.0,38.0,5326
167,26.0,38.0,5327
168,26.0,38.0,5328
169,26.0,38.0,5329
170,26.0,38.0,5330
171,26.0,38.0,5331
172,26.0,38.0,5332
173,26.0,38.0,5333
174,26.0,38.0,5334
175,26.0,38.0,5335
176,26.0,38.0,5336
177,26.0,38.0,5337
178,26.0,38.0,5338
179,26.0,38.0,5339
180,26.0,38.0,5340
181,26.0,38.0,5341
182,26.0,38.0,5342
183,26.0,38.0,5343
184,26.0,38.0,5344
185,26.0,38.0,5345
186,26.0,38.0,5346
187,26.0,38.0,5347
188,26.0,38.0,5348
189,26.0,38.0,5349
190,26.0,38.0,5350
191,26.0,38.0,5351
192,26.0,38.0,5353
193,26.0,38.0,5354
194,26.0,38.0,5355
195,26.0,38.0,5356
196,26.0,38.0,5357
197,26.0,38.0,5358
198,26.0,38.0,5359
199,26.0,38.0,5360
200,26.0,38.0,5361
201,26.0,38.0,5362
202,26.0,38.0,5363
203,26.0,38.0,5364
204,26.0,38.0,5365
205,26.0,38.0,5366
206,26.0,38.0,5367
207,26.0,38.0,5368
208,26.0,38.0,5369
209,26.0,38.0,5370
210,26.0,38.0,5371
211,26.0,38.0,5372
212,26.0,38.0,5373
213,26.0,38.0,5374
214,26.0,38.0,5375
215,26.0,38.0,5376
216,26.0,38.0,5377
217,26.0,38.0,5378
218,26.0,38.0,5379
219,26.0,38.0,5380
220,26.0,38.0,5381
221,26.0,38.0,5382
222,26.0,38.0,5383
223,26.0,38.0,5384
224,26.0,38.0,5385
225,26.0,38.0,5386
226,26.0,38.0,5388
227,26.0,38.0,5389
228,26.0,38.0,5390
229,26.0,38.0,5391
230,26.0,38.0,5392
231,26.0,38.0,5393
232,26.0,38.0,5394
233,26.0,38.0,5395
234,26.0,38.0,5396
235,26.0,38.0,5397
236,26.0,38.0,5398
237,26.0,38.0,5399
238,26.0,38.0,5400
239,26.0,38.0,5401
240,26.0,38.0,5402
241,26.0,38.0,5403
242,26.0,38.0,5404
243,26.0,38.0,5405
244,26.0,38.0,5406
245,26.0,38.0,5407
246,26.0,38.0,5408
247,26.0,38.0,5409
248,26.0,38.0,5410
249,26.0,38.0,5411
250,26.0,38.0,5412
251,26.0,38.0,5413
252,26.0,38.0,5414
253,26.0,38.0,5415
254,26.0,38.0,5416
255,26.0,38.0,5417
256,26.0,38.0,5418
257,26.0,38.0,5419
258,26.0,38.0,5420
259,26.0,38.0,5422
260,26.0,38.0,5423
261,26.0,38.0,5424
262,26.0,38.0,5425
263,26.0,38.0,5426
264,26.0,38.0,5427
265,26.0,38.0,5428
266,26.0,38.0,5429
267,26.0,38.0,5430
268,26.0,38.0,5431
269,26.0,38.0,5432
270,26.0,38.0,5433
271,26.0,38.0,5434
272,26.0,38.0,5435
273,26.0,38.0,5436
274,26.0,38.0,5437
275,26.0,38.0,5438
276,26.0,38.0,5439
277,26.0,38.0,5440
278,26.0,38.0,5441
279,26.0,38.0,5442
280,26.0,38.0,5443
281,26.0,38.0,5444
282,26.0,38.0,5445
283,26.0,38.0,5446
284,26.0,38.0,5447
285,26.0,38.0,5448
286,26.0,38.0,5449
287,26.0,38.0,5450
288,26.0,38.0,5451
289,26.0,38.0,5452
290,26.0,38.0,5453
291,26.0,38.0,5455
292,26.0,38.0,5456
293,26.0,38.0,5457
294,26.0,38.0,5458
295,26.0,38.0,5459
296,26.0,38.0,5460
297,26.0,38.0,5461
298,26.0,38.0,5462
299,26.0,38.0,5463
300,26.0,38.0,5464
301,26.0,38.0,5465
302,26.0,38.0,5466
303,26.0,38.0,5467
304,26.0,38.0,5468
305,26.0,38.0,5469
306,26.0,38.0,5470
307,26.0,38.0,5471
308,26.0,38.0,5472
309,26.0,38.0,5473
310,26.0,38.0,5474
311,26.0,38.0,5475
312,26.0,38.0,5476
313,26.0,38.0,5477
314,26.0,38.0,5478
315,26.0,38.0,5479
316,26.0,38.0,5480
317,26.0,38.0,5481
318,26.0,38.0,5482
319,26.0,38.0,5483
320,26.0,38.0,5484
321,26.0,38.0,5485
322,26.0,38.0,5487
323,26.0,38.0,5487
324,26.0,38.0,5489
325,26.0,38.0,5490
326,26.0,38.0,5491
327,26.0,38.0,5492
328,26.0,38.0,5493
329,26.0,38.0,5494
330,26.0,38.0,5495
331,26.0,38.0,5496
332,26.0,38.0,5497
333,26.0,38.0,5498
334,26.0,38.0,5499
335,26.0,38.0,5500
336,26.0,38.0,5501
337,26.0,38.0,5502
338,26.0,38.0,5503
339,26.0,38.0,5504
340,26.0,38.0,5505
341,26.0,38.0,5506
342,26.0,38.0,5507
343,26.0,38.0,5508
344,26.0,38.0,5509
345,26.0,38.0,5510
346,26.0,38.0,5511
347,26.0,38.0,5512
348,26.0,38.0,5513
349,26.0,38.0,5514
350,26.0,38.0,5515
351,26.0,38.0,5516
352,26.0,38.0,5517
353,26.0,38.0,5518
354,26.0,38.0,5519
355,26.0,38.0,5520
356,26.0,38.0,5521
357,26.0,38.0,5523
358,26.0,38.0,5524
359,26.0,38.0,5525
360,26.0,38.0,5526
361,26.0,38.0,5527
362,26.0,38.0,5528
363,26.0,38.0,5529
364,26.0,38.0,5530
365,26.0,38.0,5531
366,26.0,38.0,5532
367,26.0,38.0,5533
368,26.0,38.0,5534
369,26.0,38.0,5535
370,26.0,38.0,5536
371,26.0,38.0,5537
372,26.0,38.0,5538
373,26.0,38.0,5539
374,26.0,38.0,5540
375,26.0,38.0,5541
376,26.0,38.0,5542
377,26.0,38.0,5543
378,26.0,38.0,5544
379,26.0,38.0,5545
380,26.0,38.0,5546
381,26.0,38.0,5547
382,26.0,38.0,5548
383,26.0,38.0,5549
384,26.0,38.0,5550
385,26.0,38.0,5551
386,26.0,38.0,5552
387,26.0,38.0,5553
388,26.0,38.0,5554
389,26.0,38.0,5556
390,26.0,38.0,5557
391,26.0,38.0,5558
392,26.0,38.0,5559
393,26.0,38.0,5560
394,26.0,38.0,5561
395,26.0,38.0,5562
396,26.0,38.0,5563
397,26.0,38.0,5564
398,26.0,38.0,5565
399,26.0,38.0,5566
400,26.0,38.0,5567
401,26.0,38.0,5568
402,26.0,38.0,5569
403,26.0,38.0,5570
404,26.0,38.0,5571
405,26.0,38.0,5572
406,26.0,38.0,5573
407,26.0,38.0,5574
408,26.0,38.0,5575
409,26.0,38.0,5576
410,26.0,38.0,5577
411,26.0,38.0,5578
412,26.0,38.0,5579
413,26.0,38.0,5580
414,26.0,38.0,5581
415,26.0,38.0,5582
416,26.0,38.0,5583
417,26.0,38.0,5584
418,26.0,38.0,5586
419,26.0,38.0,5586
420,26.0,38.0,5587
421,26.0,38.0,5588
422,26.0,38.0,5590
423,26.0,38.0,5591
424,26.0,38.0,5592
425,26.0,38.0,5593
426,26.0,38.0,5594
427,26.0,38.0,5595
428,26.0,38.0,5596
