,T,H,Time
0,26.0,39.0,2062
1,26.0,39.0,2063
2,26.0,39.0,2065
3,26.0,39.0,2065
4,26.0,40.0,2067
5,26.0,40.0,2068
6,26.0,39.0,2069
7,26.0,39.0,2070
8,26.0,39.0,2071
9,26.0,39.0,2072
10,26.0,39.0,2073
11,26.0,39.0,2074
12,26.0,39.0,2075
13,26.0,39.0,2076
14,26.0,39.0,2077
15,26.0,39.0,2078
16,26.0,39.0,2079
17,26.0,39.0,2080
18,26.0,39.0,2081
19,26.0,39.0,2082
20,26.0,39.0,2083
21,26.0,39.0,2084
22,26.0,39.0,2085
23,26.0,39.0,2086
24,26.0,39.0,2087
25,26.0,39.0,2088
26,26.0,39.0,2089
27,26.0,39.0,2090
28,26.0,39.0,2091
29,26.0,39.0,2092
30,26.0,39.0,2093
31,26.0,39.0,2094
32,26.0,39.0,2095
33,26.0,39.0,2096
34,26.0,39.0,2097
35,26.0,39.0,2098
36,26.0,39.0,2099
37,26.0,39.0,2101
38,26.0,39.0,2102
39,26.0,39.0,2103
40,26.0,39.0,2104
41,26.0,39.0,2105
42,26.0,39.0,2106
43,26.0,39.0,2107
44,26.0,39.0,2108
45,26.0,39.0,2109
46,26.0,39.0,2110
47,26.0,39.0,2111
48,26.0,39.0,2112
49,26.0,39.0,2113
50,26.0,39.0,2114
51,26.0,39.0,2115
52,26.0,39.0,2116
53,26.0,39.0,2117
54,26.0,39.0,2118
55,26.0,39.0,2119
56,26.0,39.0,2120
57,26.0,39.0,2121
58,26.0,40.0,2122
59,26.0,40.0,2123
60,26.0,40.0,2124
61,26.0,40.0,2125
62,26.0,40.0,2126
63,26.0,40.0,2127
64,26.0,40.0,2128
65,26.0,40.0,2129
66,26.0,40.0,2130
67,26.0,40.0,2131
68,26.0,39.0,2132
69,26.0,39.0,2133
70,26.0,39.0,2135
71,26.0,39.0,2136
72,26.0,39.0,2137
73,26.0,39.0,2138
74,26.0,39.0,2139
75,26.0,39.0,2140
76,26.0,39.0,2141
77,26.0,39.0,2142
78,26.0,39.0,2143
79,26.0,39.0,2144
80,26.0,39.0,2145
81,26.0,39.0,2146
82,26.0,39.0,2147
